-1.06875804487180  464	1230
-0.796860369134184	612	1304
-1.33067218116412	669	1412
-1.25057281839656	592	1388
-1.36079132630557	651	1462
-1.05454691625503	648	1383
-0.777108293256659	540	1246
-1.01860690633211	549	1435
-1.18499630445218	528	1395
-1.13265245540794	614	1277
-0.959865391893141	491	1261
-0.853736791762951	501	1352
-1.34496853098166	632	1579
-1.01823361784067	434	1433
-1.26986437417749	459	1418
-1.29378591122935	466	1191
-0.946547903616083	600	1464
-0.908191767274598	547	1084
-1.01439017438084	526	1468
-1.03604775699213	541	1533
-1.34012666667283	577	1164
-1.14276642601215	619	1751
-0.854767103332749	542	1206
-1.26523243409491	556	1540
-1.28841653968740	592	1354
-1.01403138260559	621	1200
-0.924957045489762	652	1535
-1.05065072413284	466	1678
-1.09846652412243	597	1330
